FastqFileAcc	Target	ExperimentAcc	ExperimentAcc share the same Target	PeakType	BedFileAcc from the same ExperimentAcc
ENCFF000ATZ	H3K4me3	ENCSR000AKA	ENCSR057BWO,ENCSR000AKA,ENCSR000DRY	narrowPeak	ENCFF795URC.bed,ENCFF392CDW.bed,ENCFF368BLZ.bed,ENCFF068UAA.bed
ENCFF079KXJ	RAD51	ENCSR482TWQ	ENCSR482TWQ	narrowPeak	ENCFF270NTV.bed,ENCFF445UJF.bed,ENCFF310LKB.bed,ENCFF014TGJ.bed,ENCFF388DPA.bed
ENCFF000ATW	H3K4me2	ENCSR000AKG	ENCSR000AKG	narrowPeak	ENCFF844ORN.bed,ENCFF929USO.bed,ENCFF259KUQ.bed,ENCFF983SMS.bed
ENCFF365NAQ	IRF5	ENCSR976TBC	ENCSR976TBC	narrowPeak	ENCFF341MQJ.bed,ENCFF863BUI.bed,ENCFF877SBO.bed,ENCFF127WGD.bed,ENCFF100ERQ.bed
ENCFF000ATK	H3K4me1	ENCSR000AKF	ENCSR000AKF	narrowPeak	ENCFF317ATF.bed,ENCFF966LMJ.bed,ENCFF507SNM.bed,ENCFF921LKB.bed
ENCFF000ATO	H3K4me2	ENCSR000AKG	ENCSR000AKG	narrowPeak	ENCFF844ORN.bed,ENCFF929USO.bed,ENCFF259KUQ.bed,ENCFF983SMS.bed
ENCFF616WSS	ZNF143	ENCSR936XTK	ENCSR936XTK,ENCSR000DZL	narrowPeak	ENCFF114HTB.bed,ENCFF405WZX.bed,ENCFF369JYP.bed,ENCFF648GNP.bed,ENCFF544NXC.bed
ENCFF422BBZ	BMI1	ENCSR469WII	ENCSR469WII	narrowPeak	ENCFF809PXE.bed,ENCFF159QMJ.bed,ENCFF827JSS.bed,ENCFF626WXN.bed,ENCFF089KCX.bed
ENCFF000NSI	ATF3	ENCSR000BJY	ENCSR000BJY	narrowPeak	ENCFF002CGP.bed
ENCFF001HIA	CTCF	ENCSR000DRZ	ENCSR000DZN,ENCSR000DRZ,ENCSR000DLD,ENCSR000DLE,ENCSR000DKV,ENCSR000AKB	narrowPeak	ENCFF001XPL.bed,ENCFF001XPM.bed,ENCFF002DCM.bed,ENCFF303UAB.bed,ENCFF559IXF.bed,ENCFF918HTJ.bed,ENCFF963PJY.bed,ENCFF473RXY.bed
ENCFF000NSE	ATF2	ENCSR000BQK	ENCSR961PPA,ENCSR000BQK	narrowPeak	ENCFF002CGO.bed
ENCFF000NSG	ATF2	ENCSR000BQK	ENCSR961PPA,ENCSR000BQK	narrowPeak	ENCFF002CGO.bed
ENCFF000NSX	BATF	ENCSR000BGT	ENCSR000BGT	narrowPeak	ENCFF002CGQ.bed
ENCFF000NSW	BATF	ENCSR000BGT	ENCSR000BGT	narrowPeak	ENCFF002CGQ.bed
ENCFF000NSP	ATF3	ENCSR000BJY	ENCSR000BJY	narrowPeak	ENCFF002CGP.bed
ENCFF952VLJ	IKZF2	ENCSR680UQE	ENCSR680UQE	narrowPeak	ENCFF431GOQ.bed,ENCFF515FMR.bed,ENCFF379VSR.bed,ENCFF337XDI.bed,ENCFF339FFC.bed
ENCFF993KAU	ARID3A	ENCSR778UBR	ENCSR778UBR	narrowPeak	ENCFF027VZK.bed,ENCFF716JVW.bed,ENCFF877OQG.bed,ENCFF644NTF.bed,ENCFF415CYX.bed
ENCFF000NXS	MTA3	ENCSR000BRH	ENCSR000BRH	narrowPeak	ENCFF002CHE.bed
ENCFF441WIT	YBX1	ENCSR205SKQ	ENCSR205SKQ	narrowPeak	ENCFF019TVN.bed,ENCFF015RED.bed,ENCFF009QEI.bed,ENCFF344OJI.bed,ENCFF506ECO.bed
ENCFF000NXT	MTA3	ENCSR000BRH	ENCSR000BRH	narrowPeak	ENCFF002CHE.bed
ENCFF000NXW	NFATC1	ENCSR000BQL	ENCSR000BQL	narrowPeak	ENCFF002CHF.bed
